"Control: 0,0","Control: 0,1","Control: 1,0","Control: 1,1","Control: 2,0","Control: 2,1","Control: 3,0","Control: 3,1","Control: 4,0","Control: 4,1","Control: 5,0","Control: 5,1","Control: 6,0","Control: 6,1","Control: 7,0","Control: 7,1","Control: 8,0","Control: 8,1","Control: 9,0","Control: 9,1","Control: 10,0","Control: 10,1"
-0.11440249273378567,-0.10312812710019591,-0.1147821782434795,-0.1062922684040737,-0.11417251200235298,-0.11062126336978681,-0.11443036176645552,-0.1139119166661574,-0.11483767359714363,-0.1158231232610679,-0.114981384418923,-0.11769074769745327,-0.11568670244178321,-0.11895236316268125,-0.11523528218198446,-0.11991988600417852,-0.11570617792018072,-0.12040926927423443,-0.11607690011682485,-0.12015811669241376,-0.1177730597365106,-0.11999058377067985
-0.17778426288248056,-0.16870412936948725,-0.17844693628681554,-0.1751109612558356,-0.17711119381060614,-0.18342812823902002,-0.17770933060985922,-0.18969450817782918,-0.17835129476856437,-0.19341911076182428,-0.17870167710198193,-0.1970134918174293,-0.17987245303114352,-0.19946453538975287,-0.17911562514261103,-0.20131630396100186,-0.17989147347013681,-0.20226823235528757,-0.18056872576381522,-0.2018259827300641,-0.18344852464236433,-0.2015865407686157
-0.2068509709347478,-0.20036920163577612,-0.20747187771395859,-0.2099889245697199,-0.20573119367887188,-0.2220728979344075,-0.20623344502354893,-0.2308960514948378,-0.20735549866545278,-0.23642868367091593,-0.20772439841297366,-0.2415385548468303,-0.20921725052366613,-0.24516211190369466,-0.2082946275091031,-0.24778118952117079,-0.20916139343721082,-0.24917739150150495,-0.21011621308150202,-0.24863040584510457,-0.2137186772338628,-0.2483676634797881
-0.21159436971742834,-0.20379045438019353,-0.21221987218298252,-0.2166443455575883,-0.2098200951128502,-0.23211680374176477,-0.21042864150163576,-0.24327797237441381,-0.21171553656504574,-0.25043760949611843,-0.21229760704099215,-0.25698594489548215,-0.213799979961638,-0.261662501849354,-0.21284456746098548,-0.2650306524181345,-0.21368623081456534,-0.2667545118736293,-0.21476167643406777,-0.26628357270592895,-0.21877504185790847,-0.2659663382894483
-0.20053885637430574,-0.18921369200658988,-0.20087548296579583,-0.20519026396106996,-0.19816959217179309,-0.2238235999169313,-0.19844709849341013,-0.23688135696657986,-0.20008581127869585,-0.2457268935888741,-0.2007912092917699,-0.25340117968761133,-0.2020702391213034,-0.2591816689870716,-0.20126888517045854,-0.26316542136200416,-0.20184750206247704,-0.26517772486126456,-0.20300135284999554,-0.26490280262116483,-0.2071009292069606,-0.264515950514502
-0.17695542167703296,-0.16213536885625535,-0.17709022561222465,-0.18117627657900048,-0.17386467019113305,-0.202535007454451,-0.1739736796736125,-0.2172660435398172,-0.17571652186678371,-0.22760650369019092,-0.1766665651761472,-0.23630522302590723,-0.17745480848515172,-0.24304911839002297,-0.17696368162837248,-0.24763115546930775,-0.17706082193612524,-0.2498546854782397,-0.17826162403529022,-0.24986115411846865,-0.18215814488421403,-0.24941115046293097
-0.14669690795481166,-0.12478144892568846,-0.14651626925612252,-0.14677255781221882,-0.14294512342189034,-0.17041650654390678,-0.1426163757647315,-0.18652374843191386,-0.14466246258053486,-0.19823734611062227,-0.1455338557405052,-0.20775529391210842,-0.14601182759380535,-0.21539161026219716,-0.14554674046711216,-0.22047747082737468,-0.1453477297826028,-0.22291193930667108,-0.14625416414714945,-0.22319047175050796,-0.1498764010988538,-0.22272764769986342
-0.10936403134197105,-0.08191752000021049,-0.10900533797367881,-0.10674156007219128,-0.1048329528797117,-0.13211839545401521,-0.10439128926494227,-0.14937465285255755,-0.1063107697425709,-0.16222290769356945,-0.10737640516617443,-0.1724464137500017,-0.10717564602755061,-0.18078107802663781,-0.10699627792025752,-0.18636635636537036,-0.10615885424378065,-0.18894598190877485,-0.10688822143542244,-0.18949652129196992,-0.10994147054942299,-0.18905852850109223
-0.06187133231203701,-0.03701904340819611,-0.061158518142744096,-0.06448056027604797,-0.05670346490918684,-0.09107942494509416,-0.055806125711745584,-0.10911538049489868,-0.057876532768392955,-0.12300992203388786,-0.05870105378950307,-0.1336073265072316,-0.05816966749211435,-0.14265368056331032,-0.05784703573533574,-0.1485157297589221,-0.05666330722399584,-0.15135119536203234,-0.056850813133073004,-0.15202903964183295,-0.05935147584931704,-0.15171273367937513
-0.006218452006101159,0.0050925990729675475,-0.005267766629682332,-0.02475025216621613,-0.0003326844716990817,-0.05203211143709711,0.0006700421431344735,-0.07053832460208036,-0.0010897864929578366,-0.08519165343228134,-0.0019313763534977483,-0.09608657945592256,-0.0008438125014762594,-0.10555086463166517,-0.00040831554152979976,-0.11172378343224071,0.0011569847917757402,-0.11472892648182825,0.0016432197772443316,-0.11549493468456624,-0.00024302012488200376,-0.11533665122363033
